2020-09-19 16:44:33
Epoch:001   iter:00103 | Loss:1.709 | Acc:0.367
Epoch:001   iter:00104 | Loss:1.685 | Acc:0.367
Epoch:001   iter:00105 | Loss:1.622 | Acc:0.422
Epoch:001   iter:00106 | Loss:1.761 | Acc:0.375
Epoch:001   iter:00107 | Loss:1.613 | Acc:0.438
Epoch:001   iter:00108 | Loss:1.608 | Acc:0.500
Epoch:001   iter:00109 | Loss:1.713 | Acc:0.312
Epoch:001   iter:00110 | Loss:1.712 | Acc:0.445
Epoch:001   iter:00111 | Loss:1.671 | Acc:0.461
Epoch:001   iter:00112 | Loss:1.629 | Acc:0.438
Epoch:001   iter:00113 | Loss:1.631 | Acc:0.406
Epoch:001   iter:00114 | Loss:1.691 | Acc:0.453
Epoch:001   iter:00115 | Loss:1.690 | Acc:0.414
Epoch:001   iter:00116 | Loss:1.733 | Acc:0.375
Epoch:001   iter:00117 | Loss:1.680 | Acc:0.383
Epoch:001   iter:00118 | Loss:1.720 | Acc:0.391
Epoch:001   iter:00119 | Loss:1.577 | Acc:0.500
Epoch:001   iter:00120 | Loss:1.731 | Acc:0.414
Epoch:001   iter:00121 | Loss:1.593 | Acc:0.383
Epoch:001   iter:00122 | Loss:1.616 | Acc:0.445
Epoch:001   iter:00123 | Loss:1.591 | Acc:0.445
Epoch:001   iter:00124 | Loss:1.695 | Acc:0.430
Epoch:001   iter:00125 | Loss:1.628 | Acc:0.430
Epoch:001   iter:00126 | Loss:1.614 | Acc:0.500
Epoch:001   iter:00127 | Loss:1.615 | Acc:0.445
Epoch:001   iter:00128 | Loss:1.673 | Acc:0.336
Epoch:001   iter:00129 | Loss:1.641 | Acc:0.398
Epoch:001   iter:00130 | Loss:1.565 | Acc:0.438
Epoch:001   iter:00131 | Loss:1.690 | Acc:0.375
Epoch:001   iter:00132 | Loss:1.620 | Acc:0.383
Epoch:001   iter:00133 | Loss:1.626 | Acc:0.414
Epoch:001   iter:00134 | Loss:1.661 | Acc:0.445
Epoch:001   iter:00135 | Loss:1.673 | Acc:0.391
Epoch:001   iter:00136 | Loss:1.597 | Acc:0.453
Epoch:001   iter:00137 | Loss:1.561 | Acc:0.477
Epoch:001   iter:00138 | Loss:1.683 | Acc:0.375
Epoch:001   iter:00139 | Loss:1.606 | Acc:0.508
Epoch:001   iter:00140 | Loss:1.629 | Acc:0.445
Epoch:001   iter:00141 | Loss:1.671 | Acc:0.422
Epoch:001   iter:00142 | Loss:1.607 | Acc:0.422
Epoch:001   iter:00143 | Loss:1.635 | Acc:0.422
Epoch:001   iter:00144 | Loss:1.537 | Acc:0.508
Epoch:001   iter:00145 | Loss:1.555 | Acc:0.484
Epoch:001   iter:00146 | Loss:1.616 | Acc:0.438
Epoch:001   iter:00147 | Loss:1.624 | Acc:0.453
Epoch:001   iter:00148 | Loss:1.564 | Acc:0.438
Epoch:001   iter:00149 | Loss:1.541 | Acc:0.430
Epoch:001   iter:00150 | Loss:1.567 | Acc:0.438
Epoch:001   iter:00151 | Loss:1.561 | Acc:0.453
Epoch:001   iter:00152 | Loss:1.614 | Acc:0.430
Epoch:001   iter:00153 | Loss:1.574 | Acc:0.461
Epoch:001   iter:00154 | Loss:1.547 | Acc:0.445
Epoch:001   iter:00155 | Loss:1.546 | Acc:0.484
Epoch:001   iter:00156 | Loss:1.554 | Acc:0.484
Epoch:001   iter:00157 | Loss:1.583 | Acc:0.445
Epoch:001   iter:00158 | Loss:1.566 | Acc:0.461
Epoch:001   iter:00159 | Loss:1.646 | Acc:0.383
Epoch:001   iter:00160 | Loss:1.580 | Acc:0.453
Epoch:001   iter:00161 | Loss:1.601 | Acc:0.422
Epoch:001   iter:00162 | Loss:1.579 | Acc:0.430
Epoch:001   iter:00163 | Loss:1.612 | Acc:0.422
Epoch:001   iter:00164 | Loss:1.573 | Acc:0.453
Epoch:001   iter:00165 | Loss:1.581 | Acc:0.398
Epoch:001   iter:00166 | Loss:1.492 | Acc:0.461
Epoch:001   iter:00167 | Loss:1.578 | Acc:0.492
Epoch:001   iter:00168 | Loss:1.574 | Acc:0.383
Epoch:001   iter:00169 | Loss:1.535 | Acc:0.375
Epoch:001   iter:00170 | Loss:1.529 | Acc:0.523
Epoch:001   iter:00171 | Loss:1.557 | Acc:0.492
Epoch:001   iter:00172 | Loss:1.553 | Acc:0.469
Epoch:001   iter:00173 | Loss:1.567 | Acc:0.492
Epoch:001   iter:00174 | Loss:1.503 | Acc:0.477
Epoch:001   iter:00175 | Loss:1.450 | Acc:0.625
Epoch:001   iter:00176 | Loss:1.536 | Acc:0.484
Epoch:001   iter:00177 | Loss:1.570 | Acc:0.469
Epoch:001   iter:00178 | Loss:1.513 | Acc:0.500
Epoch:001   iter:00179 | Loss:1.523 | Acc:0.469
Epoch:001   iter:00180 | Loss:1.398 | Acc:0.562
Epoch:001   iter:00181 | Loss:1.497 | Acc:0.445
Epoch:001   iter:00182 | Loss:1.541 | Acc:0.492
Epoch:001   iter:00183 | Loss:1.586 | Acc:0.406
Epoch:001   iter:00184 | Loss:1.412 | Acc:0.531
Epoch:001   iter:00185 | Loss:1.505 | Acc:0.492
Epoch:001   iter:00186 | Loss:1.510 | Acc:0.500
Epoch:001   iter:00187 | Loss:1.472 | Acc:0.500
Epoch:001   iter:00188 | Loss:1.487 | Acc:0.484
Epoch:001   iter:00189 | Loss:1.450 | Acc:0.516
Epoch:001   iter:00190 | Loss:1.480 | Acc:0.547
Epoch:001   iter:00191 | Loss:1.457 | Acc:0.523
Epoch:001   iter:00192 | Loss:1.437 | Acc:0.492
Epoch:001   iter:00193 | Loss:1.565 | Acc:0.484
Epoch:001   iter:00194 | Loss:1.466 | Acc:0.484
Epoch:001   iter:00195 | Loss:1.457 | Acc:0.508
Epoch:001   iter:00196 | Loss:1.555 | Acc:0.430
Epoch:001   iter:00197 | Loss:1.413 | Acc:0.531
Epoch:001   iter:00198 | Loss:1.494 | Acc:0.484
Epoch:001   iter:00199 | Loss:1.431 | Acc:0.547
Epoch:001   iter:00200 | Loss:1.407 | Acc:0.508
Epoch:001   iter:00201 | Loss:1.469 | Acc:0.531
Epoch:001   iter:00202 | Loss:1.425 | Acc:0.516
Epoch:001   iter:00203 | Loss:1.357 | Acc:0.625
Epoch:001   iter:00204 | Loss:1.418 | Acc:0.516
Epoch:001   iter:00205 | Loss:1.536 | Acc:0.422
Epoch:001   iter:00206 | Loss:1.446 | Acc:0.508
Epoch:001   iter:00207 | Loss:1.401 | Acc:0.562
Epoch:001   iter:00208 | Loss:1.428 | Acc:0.562
Epoch:001   iter:00209 | Loss:1.375 | Acc:0.594
Epoch:001   iter:00210 | Loss:1.421 | Acc:0.555
Epoch:001   iter:00211 | Loss:1.404 | Acc:0.617
Epoch:001   iter:00212 | Loss:1.574 | Acc:0.516
Epoch:001   iter:00213 | Loss:1.438 | Acc:0.539
Epoch:001   iter:00214 | Loss:1.367 | Acc:0.602
Epoch:001   iter:00215 | Loss:1.407 | Acc:0.531
Epoch:001   iter:00216 | Loss:1.456 | Acc:0.539
Epoch:001   iter:00217 | Loss:1.330 | Acc:0.594
Epoch:001   iter:00218 | Loss:1.485 | Acc:0.453
Epoch:001   iter:00219 | Loss:1.421 | Acc:0.523
Epoch:001   iter:00220 | Loss:1.402 | Acc:0.594
Epoch:001   iter:00221 | Loss:1.406 | Acc:0.492
Epoch:001   iter:00222 | Loss:1.401 | Acc:0.555
Epoch:001   iter:00223 | Loss:1.556 | Acc:0.414
Epoch:001   iter:00224 | Loss:1.393 | Acc:0.602
Epoch:001   iter:00225 | Loss:1.423 | Acc:0.516
Epoch:001   iter:00226 | Loss:1.408 | Acc:0.547
Epoch:001   iter:00227 | Loss:1.394 | Acc:0.586
Epoch:001   iter:00228 | Loss:1.429 | Acc:0.555
Epoch:001   iter:00229 | Loss:1.431 | Acc:0.523
Epoch:001   iter:00230 | Loss:1.297 | Acc:0.617
Epoch:001   iter:00231 | Loss:1.411 | Acc:0.508
Epoch:001   iter:00232 | Loss:1.379 | Acc:0.578
Epoch:001   iter:00233 | Loss:1.354 | Acc:0.570
Epoch:001   iter:00234 | Loss:1.355 | Acc:0.570
Epoch:001   iter:00235 | Loss:1.345 | Acc:0.570
Epoch:001   iter:00236 | Loss:1.258 | Acc:0.664
Epoch:001   iter:00237 | Loss:1.359 | Acc:0.562
Epoch:001   iter:00238 | Loss:1.377 | Acc:0.555
Epoch:001   iter:00239 | Loss:1.340 | Acc:0.555
